id;code;name;description;maintenance_document;created_at;expected_start_date;expected_end_date;started;started_at;finished;finished_at;plant_id;created_by_id
df65b1a3-f2bf-46ac-9b7d-a14d4bbf4dd4;scary;expatiate geez blah;hmph nor difficult;including;2025-11-20T11:37:44;2025-11-20;2025-11-20;false;2025-11-21T06:09:20;false;2025-11-21T08:59:34;b0f4aea9-5a9a-4ade-bb6c-447786002471;78f1ad19-2fc9-472b-8552-8cfe904091e7
c25a0ffe-3573-4165-86d6-6ee7ede65a0e;rigidly triumphantly;coolly cauliflower vibrant;qua poorly;whereas yippee whoa;2025-11-20T11:36:14;2025-11-21;2025-11-21;true;2025-11-20T16:57:53;false;2025-11-21T07:06:18;59fba23b-d519-4872-bf13-45883f1ca12c;1ba721cd-8190-4200-ba39-50dfb2dca9f6
a336fa26-6ef0-4463-a592-c59484438f48;above;tomorrow;after within or;forenenst into;2025-11-20T11:53:41;2025-11-20;2025-11-20;false;2025-11-20T15:44:19;false;2025-11-20T18:28:51;23e29c5d-3577-4114-bd0e-ec4b58f555ee;b9068a63-7533-4270-b293-686a36f10b23
7c5914e9-6f1b-479f-a5cd-cc78533bf588;afore toady puff;badly which;needily yahoo;tinted hm;2025-11-21T05:55:42;2025-11-20;2025-11-20;true;2025-11-20T14:25:46;false;2025-11-20T20:56:47;d857a742-7c4f-4e78-8f17-7ad1d975c7fd;c071e7b9-6291-4f7a-9037-548f37392bf3
3ed11e78-de51-4e22-bc04-887dcc33b361;among;youthful;brr;airbrush;2025-11-21T08:25:10;2025-11-21;2025-11-21;false;2025-11-21T08:10:37;false;2025-11-20T21:30:43;7d0b4021-daba-4726-a1ea-a72f97243d98;0d3a899c-d9bd-4149-8a49-046fe189993d
57484ee1-91dc-49ef-ab11-7454417b4770;bench along;glimmer soggy practical;nor;rowdy suffice youthfully;2025-11-21T04:45:16;2025-11-20;2025-11-21;false;2025-11-21T07:08:22;false;2025-11-21T10:21:10;067bf237-ea98-4304-8e53-de8b05cabf9d;f48a5f9e-d08a-4c75-bc3d-44d29553d919
77c5fe7e-9baf-408a-a7b8-41f37f8784d1;readies knitting incidentally;yum;within considering;certainly given colorfully;2025-11-21T07:20:09;2025-11-20;2025-11-20;true;2025-11-20T19:35:52;true;2025-11-20T20:44:53;3f3829db-dcc2-4373-b87a-a2db8cb38f34;6e2426cd-0025-4524-acc4-1b0ac1ce4c75
6f61f11b-def1-4a68-a200-95f708c9df40;splendid versus;inexperienced observe;whenever underneath following;furthermore which;2025-11-20T13:27:14;2025-11-21;2025-11-20;false;2025-11-20T15:33:18;true;2025-11-21T06:29:33;83fcd046-5148-4168-9fbb-393c3586db1b;5ae37517-26e7-4785-945b-c6d7f1edb0c5
628c7301-8168-4732-8f43-cc011eb4513f;eek;yellowish;fooey;yippee;2025-11-20T19:37:42;2025-11-21;2025-11-21;true;2025-11-20T23:28:49;false;2025-11-20T16:55:47;fcd3a094-8ee2-49b8-ac48-5997c21dac47;918c1483-246a-4abb-9705-35536769f512
5167aa2e-f80f-4894-838b-f02977337d29;weight lively fort;electrify equal;successfully yum gullible;pension beyond;2025-11-20T20:04:58;2025-11-21;2025-11-20;true;2025-11-21T08:51:13;true;2025-11-20T12:20:40;ccdca9bc-b9f2-4838-8ec0-2a7ca42fa1ee;27ba14f0-cff0-44d5-af63-967c4a2442ac
