id;order_index;status
e98c1b92-60d3-4068-9dd8-e917f72c9483;18841;OUT_OF_OPERATION
7dd52a7f-95ad-48ea-a23d-b7461bb66a5b;17096;INACCESSIBLE
760b167e-aaf6-44ee-8c8d-0ef24073e1f1;2872;NOT_INSPECTED
ec2a632a-7d7f-41cd-bbb3-20c8e827e97d;7054;INACCESSIBLE
a973c5cb-f1d7-48f5-9b1c-d42b8b167d85;18045;INACCESSIBLE
21f407a2-3cd1-4d89-9b6c-f87a32aba4fd;6911;OTHER
13e363fe-730b-43fd-81cc-f9814b9ba698;31944;INACCESSIBLE
cfd9c87a-5313-4333-bad1-97276522cb48;29924;OTHER
d9b33e85-da2d-4932-afb0-225856fa0875;31310;NOT_INSPECTED
5813b311-71bf-46d3-ad0b-074fb8f5212b;27194;NOT_INSPECTED
